,SECCODE,DATE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO
1496,LKOH,2007-10-08,4636,B,T,5.413918502508535,0.00044793616688996123,2174.0
1499,LKOH,2007-10-08,4651,B,T,0.028069206699782467,0.014413430477657063,2173.2
1502,LKOH,2007-10-08,4662,B,T,0.017006098437603135,0.03519079345552504,2173.29
1519,LKOH,2007-10-08,4723,S,T,-2.1468003069981743,0.004877617518288656,2174.59
1523,LKOH,2007-10-08,4744,B,T,0.019318249766574494,0.10132222322858743,2174.11
1533,LKOH,2007-10-08,4781,S,T,-10.586891154666768,0.015433323335861743,2173.25
1542,LKOH,2007-10-08,4812,B,T,85.66334364723878,0.045871269424219326,2174.98
1557,LKOH,2007-10-08,4873,B,T,-0.0009195486855043178,0.047302677394329196,2174.98
1570,LKOH,2007-10-08,4930,B,T,0.006696485964904077,0.0179075425668096,2175.21
1573,LKOH,2007-10-08,4939,S,T,-11.969707640235649,0.010513566359100291,2175.75
1578,LKOH,2007-10-08,4949,B,T,1.0985045599448058,0.024558449800514453,2164.45
1580,LKOH,2007-10-08,4958,B,T,-0.0018383620194390065,0.10542560822591004,2175.85
1586,LKOH,2007-10-08,4980,B,T,3.825142520324616,0.0013535422441727707,2177.49
1594,LKOH,2007-10-08,5013,B,T,100.0,0.0009173682948940838,2175.72
1613,LKOH,2007-10-08,5103,S,T,-5.176084328682013,0.03773760357365674,2175.88
1622,LKOH,2007-10-08,5140,S,T,-100.0,0.032107752898988866,2175.9
1643,LKOH,2007-10-08,5243,S,T,0.08596805195672394,0.0004914143423874664,2175.11
1648,LKOH,2007-10-08,5265,S,T,-56.20495199530464,0.0042925526342272235,2175.0
1665,LKOH,2007-10-08,5341,S,T,-0.6982691351972881,0.017333836063397237,2175.8
1700,LKOH,2007-10-08,5451,S,T,-6.198134037216793,0.006702072666003958,2173.8
1711,LKOH,2007-10-08,5500,S,T,0.09318407418506999,0.012690610084120228,2172.9
1714,LKOH,2007-10-08,5513,S,T,-7.883133628853325,0.0031402946917669567,2186.0
1758,LKOH,2007-10-08,5664,B,T,-0.058011316810860934,0.001982155710169184,2171.99
1770,LKOH,2007-10-08,5712,S,T,0.00046040727628664403,0.008104086720562996,2171.99
1775,LKOH,2007-10-08,5745,B,T,0.10186578962820826,0.001823806040764941,2152.16
1779,LKOH,2007-10-08,5764,S,T,-100.00000000000001,0.011840655192227899,2170.99
1797,LKOH,2007-10-08,5854,B,T,1.7221032736606512,0.010109618831303228,2172.0
1799,LKOH,2007-10-08,5873,B,T,0.0008133012571523822,0.023993362834474247,2169.0
1800,LKOH,2007-10-08,5875,B,T,4.25015603147858,0.0022431760996405787,2168.4
1810,LKOH,2007-10-08,5919,B,T,0.0004610398292409107,0.030651582039327656,2169.01
1811,LKOH,2007-10-08,5924,B,T,0.0009245904064491018,0.019849585298097026,2163.12
1817,LKOH,2007-10-08,5955,B,T,100.00000000000001,0.01129163760920634,2169.22
1819,LKOH,2007-10-08,5988,B,T,27.414652362185343,0.00031113992437252686,2152.88
1837,LKOH,2007-10-08,6040,B,T,0.0,0.0373229773276367,2169.0
1842,LKOH,2007-10-08,6061,B,T,15.57748942249678,0.008144493202699337,2169.33
1844,LKOH,2007-10-08,6065,B,T,0.004610206998290031,0.06795784631712468,2169.1
1863,LKOH,2007-10-08,6135,B,T,0.010412316676537187,0.011442483053361279,2169.5
1869,LKOH,2007-10-08,6158,B,T,0.0009219861425474389,0.013186983843050162,2169.23
1873,LKOH,2007-10-08,6169,B,T,-0.006912442396317556,0.010383905795372328,2170.0
1883,LKOH,2007-10-08,6200,B,T,-0.04695237442820997,0.0026048458067197116,2170.5
1899,LKOH,2007-10-08,6257,S,T,-100.0,0.0068629992667266415,2172.8
1900,LKOH,2007-10-08,6259,B,T,0.0023037758886689775,0.004602744369500017,2170.35
1906,LKOH,2007-10-08,6288,B,T,0.0027644546422079435,0.004797988015087195,2170.41
1923,LKOH,2007-10-08,6359,S,T,0.026936754458251274,0.005589176585888704,2171.9
1933,LKOH,2007-10-08,6411,B,T,0.005829819793823993,0.006096193028312891,2170.68
1935,LKOH,2007-10-08,6425,S,T,-18.733553440023403,0.004113439055923447,2172.54
1939,LKOH,2007-10-08,6447,S,T,-5.454582801978287,0.0032236991079095706,2171.0
1968,LKOH,2007-10-08,6551,B,T,12.188162415312403,0.006319756283820628,2171.0
1987,LKOH,2007-10-08,6671,B,T,0.002304094375714011,0.016260407025786905,2170.05
1997,LKOH,2007-10-08,6712,S,T,-4.315050016859615,0.005450294391275389,2170.0
2023,LKOH,2007-10-08,6812,S,T,0.2424750119782409,0.005375760234933233,2172.9
2038,LKOH,2007-10-08,6871,S,T,-11.668439233034174,0.009743263810851154,2170.21
2040,LKOH,2007-10-08,6880,S,T,-100.00000000000001,0.0003031614312348723,2170.99
2044,LKOH,2007-10-08,6894,S,T,-9.13433206036105,0.003065854414633759,2169.95
2058,LKOH,2007-10-08,6966,S,T,-0.07998447073669712,0.015895443978286652,2171.32
2064,LKOH,2007-10-08,6989,S,T,0.00046083161674562005,0.003179817928465182,2169.99
2074,LKOH,2007-10-08,7023,S,T,0.023052097740894423,3.3121745216782526e-05,2169.0
2085,LKOH,2007-10-08,7077,B,T,0.023057412958266084,0.009876544484784464,2168.5
2089,LKOH,2007-10-08,7093,S,T,-100.0,0.0001396936602725055,2168.5
2093,LKOH,2007-10-08,7106,B,T,2.795267418082986,0.002133386057998625,2168.0
2102,LKOH,2007-10-08,7148,B,T,0.04566399601478943,0.0023402958265263786,2168.01
2104,LKOH,2007-10-08,7164,B,T,0.0036440698729240245,0.01284828875824332,2168.23
2105,LKOH,2007-10-08,7166,B,T,0.0013837446898889816,0.0022728350075821905,2168.03
2133,LKOH,2007-10-08,7281,S,T,-2.3059794993936142,0.005613819253763996,2176.1
2135,LKOH,2007-10-08,7302,S,T,-2.001122047026482,0.01647070847549067,2171.04
2149,LKOH,2007-10-08,7359,S,T,-100.0,0.07698348633929751,2171.75
2151,LKOH,2007-10-08,7364,S,T,0.004144256980777349,0.05691198613820356,2171.68
2152,LKOH,2007-10-08,7367,B,T,2.0057144540186442,0.0022326567624981423,2171.31
2154,LKOH,2007-10-08,7373,S,T,-1.5155864251350273,0.00416632450367916,2170.0
2156,LKOH,2007-10-08,7378,B,T,73.17995406648802,0.0007299425230431497,2169.92
2160,LKOH,2007-10-08,7393,S,T,0.046083161673556104,0.0090656621988173,2169.99
2163,LKOH,2007-10-08,7416,S,T,-0.10905833989057932,0.005130105276566191,2169.93
2172,LKOH,2007-10-08,7455,B,T,0.0,0.009341092529065646,2169.24
2180,LKOH,2007-10-08,7478,S,T,-21.184607695664578,0.005004750270538014,2171.5
2181,LKOH,2007-10-08,7486,B,T,50.233799671292715,0.0027061558883951934,2169.5
2188,LKOH,2007-10-08,7522,S,T,-3.9096759230815463,0.01019692244539232,2168.99
2190,LKOH,2007-10-08,7530,B,T,100.0,0.004398464578523517,2169.27
2207,LKOH,2007-10-08,7616,B,T,2.7656134319969732e-05,0.0017882959823217006,2169.52
2219,LKOH,2007-10-08,7677,B,T,100.0,0.0009063012988877613,2169.53
2227,LKOH,2007-10-08,7740,S,T,-0.9609011664984427,0.004416682016736406,2171.5
2229,LKOH,2007-10-08,7754,B,T,-0.0010071061646829574,0.00019877135373940128,2171.52
2259,LKOH,2007-10-08,7887,S,T,0.0027740930247622626,0.012529240080274454,2171.0
2271,LKOH,2007-10-08,7934,B,T,3.999999999999999,0.03123788967537051,2169.55
2276,LKOH,2007-10-08,7952,S,T,0.3146375980024903,0.00699409926670047,2171.4
2286,LKOH,2007-10-08,7984,S,T,0.02579527762167289,0.047120044337953054,2170.94
2293,LKOH,2007-10-08,8005,S,T,-19.473684210526315,0.023038065707124217,2170.12
2304,LKOH,2007-10-08,8045,S,T,0.014343516269827264,0.0031011418778628492,2169.97
2311,LKOH,2007-10-08,8066,S,T,-69.43041601229761,0.0026195130088389348,2169.95
2314,LKOH,2007-10-08,8074,S,T,-43.79438019353426,0.0007914177138952653,2169.97
2324,LKOH,2007-10-08,8113,S,T,0.00030033153243654796,0.0012111559897617543,2169.94
2338,LKOH,2007-10-08,8167,B,T,-0.00010860929391681722,0.003439163430927174,2170.0
2354,LKOH,2007-10-08,8234,B,T,-0.008295160234846043,0.001816709705907015,2169.95
2362,LKOH,2007-10-08,8267,S,T,-4.808685325711683,0.007259367359654436,2168.99
2371,LKOH,2007-10-08,8302,B,T,99.99999999999999,0.0006179269050228426,2169.01
2374,LKOH,2007-10-08,8310,B,T,0.0028232555930746955,0.003381063259714531,2169.12
2375,LKOH,2007-10-08,8314,B,T,-0.0018433519511863638,0.001354719575430472,2169.96
2378,LKOH,2007-10-08,8323,B,T,-0.027170909626804123,0.0006443571777936311,2171.47
2382,LKOH,2007-10-08,8350,B,T,8.70288836071874,0.0017602668302689217,2171.0
2386,LKOH,2007-10-08,8364,B,T,52.50011525517496,0.025082595825948874,2169.1
2396,LKOH,2007-10-08,8418,B,T,0.02476104120270748,0.0026566168637364557,2170.0
2406,LKOH,2007-10-08,8458,B,T,-0.03317972350230541,0.015518774338613709,2170.0
2412,LKOH,2007-10-08,8477,S,T,0.039990380194252474,0.002373798005758542,2171.37
2418,LKOH,2007-10-08,8505,B,T,100.0,0.0014428904534260672,2169.6
2420,LKOH,2007-10-08,8511,B,T,9.950186225593479e-05,0.0009649988882286488,2169.9
2426,LKOH,2007-10-08,8530,B,T,38.4627158747627,0.002099816438527599,2171.43
2428,LKOH,2007-10-08,8537,S,T,-100.0,0.003113205340299041,2171.33
2437,LKOH,2007-10-08,8577,S,T,0.037301576337003636,0.002973268001189345,2171.49
2440,LKOH,2007-10-08,8595,S,T,-100.0,0.006104991281109539,2171.52
2441,LKOH,2007-10-08,8597,B,T,0.048018867024128,0.003881515005114671,2170.55
2456,LKOH,2007-10-08,8655,S,T,-0.10702736955415507,0.00134958194433127,2170.0
2460,LKOH,2007-10-08,8668,S,T,-71.25093162507389,0.0015560345420370155,2172.8
2471,LKOH,2007-10-08,8709,B,T,1.9255761606601385,0.0024904063373473733,2174.01
2477,LKOH,2007-10-08,8729,S,T,-3.212917822709753,0.004279199856829854,2172.0
2482,LKOH,2007-10-08,8748,S,T,-15.712279174204813,0.028470741398667596,2174.5
2494,LKOH,2007-10-08,8785,S,T,-0.4915672511079795,0.0017952060105652639,2172.01
2511,LKOH,2007-10-08,8848,B,T,50.01727274820939,0.0009048928868264635,2171.05
2516,LKOH,2007-10-08,8878,S,T,0.00046040727628664403,0.0003768172389687256,2171.99
2522,LKOH,2007-10-08,8907,B,T,-0.0036851075590735288,0.015758796297336237,2170.9
2533,LKOH,2007-10-08,8960,S,T,0.03224617652477511,0.0035088236611258133,2170.8
2537,LKOH,2007-10-08,8973,S,T,0.010595318711794349,0.0047849068832365935,2170.77
2543,LKOH,2007-10-08,8990,B,T,94.34075977817459,0.0038645975233567442,2169.6
2544,LKOH,2007-10-08,8994,S,T,0.0,0.004578618705566744,2170.0
2558,LKOH,2007-10-08,9071,B,T,-0.008901352104119319,0.0009518712538904031,2170.0
2561,LKOH,2007-10-08,9082,B,T,0.13873908754850167,0.0006505598705197229,2169.54
2583,LKOH,2007-10-08,9160,B,T,0.0023036803597511054,0.016087125559067474,2170.44
2614,LKOH,2007-10-08,9284,B,T,0.05158627805003367,0.0027460760415787175,2171.12
2621,LKOH,2007-10-08,9317,S,T,0.0,0.04749192372330305,2172.2
2630,LKOH,2007-10-08,9373,S,T,0.006276902851539715,0.02852758299952532,2172.0
2631,LKOH,2007-10-08,9376,B,T,0.0023019727906899885,0.0018733333630918856,2172.05
2640,LKOH,2007-10-08,9410,S,T,0.0050644800390484,0.048418702986321366,2171.99
2644,LKOH,2007-10-08,9425,S,T,-100.0,0.01774729521761015,2171.98
2661,LKOH,2007-10-08,9503,B,T,0.01889392214783845,0.0040613859130569354,2170.01
2672,LKOH,2007-10-08,9557,S,T,0.00460447555023064,0.004271613554260619,2171.8
2676,LKOH,2007-10-08,9576,S,T,8.038692800221617e-06,0.0019170089129231873,2171.01
2687,LKOH,2007-10-08,9624,S,T,0.0050652263005027155,0.014197915043252544,2171.67
2703,LKOH,2007-10-08,9688,S,T,0.0007985108659584171,0.0009617120441521832,2170.0
2705,LKOH,2007-10-08,9694,S,T,-100.0,0.013622065412670194,2170.95
2713,LKOH,2007-10-08,9728,B,T,0.0016755367115301111,0.005890130406346796,2170.5
2715,LKOH,2007-10-08,9735,S,T,-83.32972272028196,0.012231199480113001,2169.53
2727,LKOH,2007-10-08,9792,S,T,-0.9844348404363942,0.0031208153095881393,2168.88
2733,LKOH,2007-10-08,9824,S,T,-91.78530875314442,0.0025246557009344054,2168.0
2736,LKOH,2007-10-08,9844,S,T,0.044761724572331706,0.005593103859402491,2167.03
2745,LKOH,2007-10-08,9933,B,T,9.150307219610964,0.04250078699885837,2163.67
2746,LKOH,2007-10-08,9937,B,T,0.005549851541466218,0.01638590066408965,2162.22
2749,LKOH,2007-10-08,9953,B,T,0.29894410887688444,0.008346601318612444,2162.31
2756,LKOH,2007-10-08,9987,B,T,0.39705964306583075,0.001059779636105966,2164.41
2762,LKOH,2007-10-08,10002,B,T,12.53507194660282,0.03142937068015134,2163.5
2766,LKOH,2007-10-08,10035,B,T,100.0,0.026325688214399273,2163.56
2772,LKOH,2007-10-08,10064,B,T,100.0,0.010087729708190609,2164.81
2783,LKOH,2007-10-08,10125,B,T,0.04630075407048794,0.004494732936180114,2165.02
2796,LKOH,2007-10-08,10188,B,T,55.55792671179833,0.013070903741264479,2165.5
2800,LKOH,2007-10-08,10200,S,T,0.10559239488476686,0.0004061365824488898,2165.56
2807,LKOH,2007-10-08,10224,S,T,0.0007449899426357744,0.0018488514701631548,2165.0
2808,LKOH,2007-10-08,10229,B,T,2.2567194835813735,0.004472238404110012,2165.5
2812,LKOH,2007-10-08,10251,B,T,100.0,0.000952442160361601,2164.41
2815,LKOH,2007-10-08,10262,S,T,-1.6177973039728477,0.0037486503342515115,2169.98
2819,LKOH,2007-10-08,10280,B,T,0.23590447430312952,0.0021869455390763504,2168.0
2825,LKOH,2007-10-08,10304,S,T,0.0009237960627803402,0.00013969090856942758,2164.98
2850,LKOH,2007-10-08,10381,B,T,0.014328104345572867,0.0019180978196944888,2163.58
2853,LKOH,2007-10-08,10392,B,T,7.14810650055366,0.03328937879466585,2163.53
2857,LKOH,2007-10-08,10406,S,T,-100.0,0.0033166401943913147,2164.8
2864,LKOH,2007-10-08,10434,B,T,0.006933049848632615,0.010114153394591633,2163.55
2867,LKOH,2007-10-08,10445,S,T,-100.0,0.0012802286938303376,2164.0
2871,LKOH,2007-10-08,10458,B,T,2.662175191619438,0.00793990290517415,2169.0
2876,LKOH,2007-10-08,10481,S,T,-7.349224179495194,0.015097081827645803,2164.1
2882,LKOH,2007-10-08,10512,B,T,-0.004619641792971171,0.0015328305015160878,2164.67
2885,LKOH,2007-10-08,10523,S,T,-100.0,0.017702038983514384,2164.79
2887,LKOH,2007-10-08,10527,B,T,60.012014731909744,0.008133606460979943,2164.01
2900,LKOH,2007-10-08,10582,S,T,0.00046210934432313824,0.00478952322477919,2163.99
2901,LKOH,2007-10-08,10592,S,T,0.013779087769433056,0.009475616898010845,2163.98
2920,LKOH,2007-10-08,10673,S,T,0.008413935550271912,0.01308413282274575,2162.9
2930,LKOH,2007-10-08,10718,S,T,-3.555505184984449,0.003943096011775416,2162.0
2938,LKOH,2007-10-08,10759,S,T,-0.7676190272648015,0.013775677550903132,2158.1
2940,LKOH,2007-10-08,10763,S,T,-0.9915829046180201,0.014076601241526949,2157.94
2963,LKOH,2007-10-08,10891,B,T,-0.023644059545951456,0.0013540510461841676,2156.99
2974,LKOH,2007-10-08,10921,B,T,100.0,0.002022670067054782,2154.5
2975,LKOH,2007-10-08,10924,B,T,0.09958618058249691,0.0026407381109366315,2155.01
2990,LKOH,2007-10-08,10980,B,T,100.0,0.011010589361573071,2155.52
3011,LKOH,2007-10-08,11043,B,T,96.15884113567334,0.0014510852779274425,2156.01
3014,LKOH,2007-10-08,11060,S,T,1.0246120052458711,0.005030858259028385,2157.89
3031,LKOH,2007-10-08,11119,B,T,100.0,0.0223885957312654,2156.8
3035,LKOH,2007-10-08,11133,S,T,-27.877048469525814,0.0037349040680160887,2157.88
3046,LKOH,2007-10-08,11179,S,T,-7.821068961212972,0.002524031678410864,2157.88
3055,LKOH,2007-10-08,11223,B,T,0.0927213722763097,0.0045523604291963305,2157.0
3064,LKOH,2007-10-08,11250,S,T,-0.7490894049844056,0.003250424527453117,2157.39
3070,LKOH,2007-10-08,11302,S,T,-100.0,0.0016272453623059897,2158.9
3071,LKOH,2007-10-08,11310,B,T,46.91359204740967,0.0051986149932588,2157.83
3074,LKOH,2007-10-08,11339,B,T,0.9359872042230044,0.0035512857167204633,2160.0
3092,LKOH,2007-10-08,11422,S,T,0.006954586549833829,0.01888554223010531,2156.85
3097,LKOH,2007-10-08,11433,B,T,15.486252988021837,0.0022216547898360668,2156.87
3100,LKOH,2007-10-08,11454,B,T,0.03538986772683754,0.00028999808762996017,2155.55
3102,LKOH,2007-10-08,11467,S,T,-100.0,0.004023172404766676,2156.0
3108,LKOH,2007-10-08,11489,S,T,-0.33508802047098346,0.002362719199940428,2155.0
3110,LKOH,2007-10-08,11499,S,T,0.005102064480824463,0.0002566323773915742,2155.99
3117,LKOH,2007-10-08,11547,B,T,6.295523542301953,0.0034665065051630406,2155.0
3134,LKOH,2007-10-08,11607,S,T,-1.0836414995761865,0.001608219081163797,2154.03
3139,LKOH,2007-10-08,11623,B,T,10.592797113886958,0.001123448610653535,2153.35
3141,LKOH,2007-10-08,11633,B,T,100.0,0.0017620134245975494,2154.0
3149,LKOH,2007-10-08,11674,S,T,-11.346710509703279,0.004288999594723778,2159.4
3164,LKOH,2007-10-08,11722,B,T,9.958188045519833,0.0010693589374845493,2155.0
3182,LKOH,2007-10-08,11777,S,T,0.0,0.0035379385490975092,2158.8
3190,LKOH,2007-10-08,11805,B,T,0.05998731751082663,0.0018412093100670134,2156.11
3195,LKOH,2007-10-08,11824,S,T,-100.0,0.003745431556740843,2156.6
3212,LKOH,2007-10-08,11889,B,T,0.0009276351796357089,0.007665608722859877,2156.02
3226,LKOH,2007-10-08,11936,B,T,0.001559710827160574,0.0006155712161501638,2157.0
3242,LKOH,2007-10-08,11985,B,T,0.09179373299150295,0.0023712602800063137,2157.01
3261,LKOH,2007-10-08,12064,S,T,-91.55575657329952,0.0016983250901426675,2158.7
3290,LKOH,2007-10-08,12177,S,T,-3.1920361383012015,0.0006257649775712103,2158.48
3296,LKOH,2007-10-08,12199,S,T,-100.0,0.009657345980646706,2158.47
3299,LKOH,2007-10-08,12209,B,T,47.903747648354816,0.001866988491915025,2158.0
3309,LKOH,2007-10-08,12239,S,T,0.04421485050654682,0.02756949818960121,2158.4
3312,LKOH,2007-10-08,12250,B,T,0.0164347401751882,0.019748097078161792,2157.3
3326,LKOH,2007-10-08,12340,B,T,1.8842911022468565,0.014679731715400714,2157.1
3329,LKOH,2007-10-08,12346,B,T,0.5237671342034228,0.001599987786606123,2154.5
3330,LKOH,2007-10-08,12353,S,T,-0.14942159619809173,0.004242498731548917,2157.3
3339,LKOH,2007-10-08,12382,S,T,0.0,0.003245452878569025,2157.22
3340,LKOH,2007-10-08,12384,S,T,-2.866629950312859,0.002380921382511533,2156.98
3346,LKOH,2007-10-08,12404,S,T,-57.847483047949744,0.003248849145188522,2158.4
3347,LKOH,2007-10-08,12408,B,T,-0.004617523483074012,0.0012479834655711559,2157.02
3354,LKOH,2007-10-08,12428,B,T,-0.0362544611674987,0.0004441754132069493,2158.0
3367,LKOH,2007-10-08,12463,S,T,-90.90491842799455,0.0014532434123143176,2156.99
3392,LKOH,2007-10-08,12537,B,T,100.0,3.0929213512223636e-05,2155.21
3404,LKOH,2007-10-08,12574,B,T,0.02041289723962211,0.0010615700180900435,2155.5
3408,LKOH,2007-10-08,12585,B,T,6.8291715960109745,0.002369519241046832,2155.5
3412,LKOH,2007-10-08,12594,B,T,2.80652430290577,0.005180779176232702,2155.6
3413,LKOH,2007-10-08,12598,S,T,-23.162309175069208,2.5844924875307425e-05,2156.89
3435,LKOH,2007-10-08,12680,B,T,2.6966890349303485,0.0011674438004537148,2156.87
3445,LKOH,2007-10-08,12720,B,T,3.960237293570623,0.0010263343367057807,2156.0
3451,LKOH,2007-10-08,12737,B,T,4.7402794762022005,0.0022133480634379727,2156.3
3465,LKOH,2007-10-08,12789,S,T,-3.7037037037037037,0.0008842866829037024,2156.5
3475,LKOH,2007-10-08,12819,S,T,-10.539417746650262,0.004668849823640513,2156.75
3484,LKOH,2007-10-08,12864,S,T,0.0,0.005481725700668153,2156.0
3492,LKOH,2007-10-08,12895,S,T,-19.112339814475277,0.001033226765232226,2157.3
3506,LKOH,2007-10-08,12944,S,T,-0.5121767280843628,0.0048277839253366905,2158.0
3514,LKOH,2007-10-08,12995,B,T,-0.0006855448236428794,0.007904426039715218,2156.33
3517,LKOH,2007-10-08,13011,S,T,-0.5067004499500488,0.0029995359907012227,2171.0
3519,LKOH,2007-10-08,13015,S,T,-0.00018395282151065557,0.008518745190073255,2156.35
3522,LKOH,2007-10-08,13035,B,T,0.003709714815670171,0.0024299198420900704,2156.5
3531,LKOH,2007-10-08,13078,B,T,4.6369284985583346e-05,0.01019179142764882,2156.6
3538,LKOH,2007-10-08,13103,B,T,14.720374233177319,0.0012030240349237625,2158.0
3539,LKOH,2007-10-08,13105,S,T,-0.0001871017135695907,0.004934741891891921,2151.0
3544,LKOH,2007-10-08,13122,S,T,-0.0023186792802903865,0.007915427555864557,2156.4
3560,LKOH,2007-10-08,13183,S,T,0.007469130939193241,0.006868726140775927,2157.77
3564,LKOH,2007-10-08,13196,B,T,-0.005543586864791754,0.014187592770875078,2157.89
3568,LKOH,2007-10-08,13215,S,T,0.043567128138342064,0.0016954116797551987,2157.59
3577,LKOH,2007-10-08,13264,B,T,0.06493837487813392,0.0011446283026931828,2158.0
3589,LKOH,2007-10-08,13317,S,T,0.0013559740317503621,3.106011630184501e-05,2158.47
3595,LKOH,2007-10-08,13349,S,T,-100.0,0.014772141259071694,2158.46
3604,LKOH,2007-10-08,13380,S,T,-4.968371538044245,0.004453709724617933,2158.0
3617,LKOH,2007-10-08,13425,B,T,-0.003707273670939017,0.0037431770581400066,2157.92
3626,LKOH,2007-10-08,13468,B,T,0.03632223997429795,0.0018660569243307231,2158.0
3629,LKOH,2007-10-08,13476,S,T,-38.878120588459794,0.007577320840095865,2157.97
3643,LKOH,2007-10-08,13540,S,T,0.003243849429785198,0.006597431747982517,2157.93
3656,LKOH,2007-10-08,13597,B,T,0.0051005976973178884,0.0010443761267802264,2156.61
3697,LKOH,2007-10-08,13806,B,T,76.2786699774764,0.001570923976264167,2157.03
3701,LKOH,2007-10-08,13828,S,T,-0.0034449163296061736,0.0025119089192189746,2157.01
3709,LKOH,2007-10-08,13865,S,T,0.007400620368148845,0.006839205635924854,2156.79
3718,LKOH,2007-10-08,13923,B,T,0.000927205125589091,0.008360362723635417,2157.02
3721,LKOH,2007-10-08,13932,S,T,0.0,0.00766357685322177,2156.9
3722,LKOH,2007-10-08,13937,B,T,0.12546318345311333,0.0026948109137074944,2157.31
3723,LKOH,2007-10-08,13942,S,T,0.0026828083930937776,0.007355317783657729,2157.99
3730,LKOH,2007-10-08,13988,S,T,-100.0,0.01099736830814679,2156.61
3740,LKOH,2007-10-08,14039,S,T,-14.87970095875096,0.02869960950662348,2156.9
3744,LKOH,2007-10-08,14052,S,T,0.0013304560868365677,0.0023268443439303094,2155.0
3754,LKOH,2007-10-08,14085,S,T,-16.13797828211816,0.001715065467302798,2154.99
3760,LKOH,2007-10-08,14113,B,T,-0.07006635422951224,0.0033990384764891186,2155.1
3764,LKOH,2007-10-08,14133,S,T,-0.006693895468962567,0.00038770956071452426,2154.98
3765,LKOH,2007-10-08,14135,B,T,0.3134532974704539,0.0030551130213129535,2155.0
3781,LKOH,2007-10-08,14203,S,T,-18.481545888455525,0.002512141956304954,2154.97
3790,LKOH,2007-10-08,14244,S,T,6.630640188354405e-05,0.001677716675242639,2154.5
3795,LKOH,2007-10-08,14265,B,T,0.0032507941225718285,0.0013735355126245229,2153.32
3802,LKOH,2007-10-08,14304,B,T,0.38857340812097174,0.013591330712341572,2156.0
3806,LKOH,2007-10-08,14325,B,T,0.0037153830792132324,0.0014795070581363695,2153.21
3808,LKOH,2007-10-08,14336,B,T,0.010681627136906796,0.002684711335189599,2153.23
3810,LKOH,2007-10-08,14340,B,T,0.03316243624521967,0.003879868666919769,2153.9
3811,LKOH,2007-10-08,14345,B,T,0.0,0.010033597348741182,2154.5
3823,LKOH,2007-10-08,14423,S,T,0.07263855912605927,0.0002568399826798045,2154.3
3830,LKOH,2007-10-08,14459,S,T,-1.7675296529805415,0.0034034824998148165,2154.3
3835,LKOH,2007-10-08,14491,B,T,-0.12599281579159397,0.006394159703799101,2152.65
3840,LKOH,2007-10-08,14520,S,T,0.0,0.04364086875617535,2157.83
3847,LKOH,2007-10-08,14560,B,T,2.469221927899016,0.0019945325736658195,2153.2
3849,LKOH,2007-10-08,14565,S,T,0.0004641900579874705,0.0005039739701648647,2154.29
3855,LKOH,2007-10-08,14580,B,T,23.084068077566123,0.004304796202900669,2153.2
3858,LKOH,2007-10-08,14596,S,T,-96.11537715882874,0.017806562451470682,2154.0
3864,LKOH,2007-10-08,14621,B,T,-1.0316730859310721e-05,0.006200804388500284,2154.0
3889,LKOH,2007-10-08,14708,B,T,-0.6608549497391721,0.0036715697108251487,2153.13
3891,LKOH,2007-10-08,14715,S,T,-54.545243422572156,0.021922241527465355,2152.99
3896,LKOH,2007-10-08,14733,B,T,5.17562094433639,0.004197827484287958,2164.86
3898,LKOH,2007-10-08,14742,B,T,4.072264802922086,0.0034623291526864634,2153.9
3900,LKOH,2007-10-08,14751,B,T,9.095132411663982,0.018899205503075143,2152.55
3901,LKOH,2007-10-08,14756,S,T,-4.3672190033674285,0.006358774050483019,2152.9
3902,LKOH,2007-10-08,14759,B,T,-0.021356708095586888,0.004091052519942761,2153.89
3906,LKOH,2007-10-08,14776,S,T,-100.0,0.0025265843108477964,2152.88
3911,LKOH,2007-10-08,14795,B,T,-0.006421909865938595,0.0018218800114297613,2152.9
3912,LKOH,2007-10-08,14802,S,T,-5.67241634978789,0.00017725034179084877,2152.88
3926,LKOH,2007-10-08,14880,B,T,0.6488349993738537,7.444315786773571e-05,2152.5
3927,LKOH,2007-10-08,14890,S,T,-1.0856374940282358,0.010909205652521903,2156.1
3930,LKOH,2007-10-08,14898,S,T,-0.9005332548695735,0.011134997411104,2152.02
3933,LKOH,2007-10-08,14909,B,T,2.9048303433038054,0.008094178684563086,2158.46
3938,LKOH,2007-10-08,14921,B,T,-0.00028941115509322076,0.00020005606544772918,2151.98
3944,LKOH,2007-10-08,14964,S,T,-0.1335864528110348,0.006827097035885417,2151.97
3957,LKOH,2007-10-08,15007,B,T,26.656558125761737,0.0012120716839633414,2152.2
3964,LKOH,2007-10-08,15031,B,T,0.2781460977142544,0.000509007934239297,2152.7
3965,LKOH,2007-10-08,15033,B,T,0.0041819812368509455,0.0414966420073562,2152.09
3975,LKOH,2007-10-08,15073,B,T,0.004645760743321719,0.00018412535635005278,2152.5
3979,LKOH,2007-10-08,15085,S,T,-1.9485333967284089,0.0284627016775187,2152.7
3985,LKOH,2007-10-08,15128,S,T,0.0009290701401493856,0.0035893038283858437,2152.69
3994,LKOH,2007-10-08,15187,S,T,-5.842893512757204,0.011708470115840305,2154.0
